full_image_index,color,image_path
1,b,00001_b.jpg
1,g,00001_g.jpg
1,r,00001_r.jpg
2,b,00002_b.jpg
2,g,00002_g.jpg
2,r,00002_r.jpg
3,b,00003_b.jpg
3,g,00003_g.jpg
3,r,00003_r.jpg
4,b,00004_b.jpg
4,g,00004_g.jpg
4,r,00004_r.jpg
5,b,00005_b.jpg
5,g,00005_g.jpg
5,r,00005_r.jpg
6,b,00006_b.jpg
6,g,00006_g.jpg
6,r,00006_r.jpg
7,b,00007_b.jpg
7,g,00007_g.jpg
7,r,00007_r.jpg
8,b,00008_b.jpg
8,g,00008_g.jpg
8,r,00008_r.jpg
9,b,00009_b.jpg
9,g,00009_g.jpg
9,r,00009_r.jpg
10,b,00010_b.jpg
10,g,00010_g.jpg
10,r,00010_r.jpg
11,b,00011_b.jpg
11,g,00011_g.jpg
11,r,00011_r.jpg
12,b,00012_b.jpg
12,g,00012_g.jpg
12,r,00012_r.jpg
13,b,00013_b.jpg
13,g,00013_g.jpg
13,r,00013_r.jpg
14,b,00014_b.jpg
14,g,00014_g.jpg
14,r,00014_r.jpg
15,b,00015_b.jpg
15,g,00015_g.jpg
15,r,00015_r.jpg
16,b,00016_b.jpg
16,g,00016_g.jpg
16,r,00016_r.jpg
17,b,00017_b.jpg
17,g,00017_g.jpg
17,r,00017_r.jpg
18,b,00018_b.jpg
18,g,00018_g.jpg
18,r,00018_r.jpg
19,b,00019_b.jpg
19,g,00019_g.jpg
19,r,00019_r.jpg
20,b,00020_b.jpg
20,g,00020_g.jpg
20,r,00020_r.jpg
21,b,00021_b.jpg
21,g,00021_g.jpg
21,r,00021_r.jpg
22,b,00022_b.jpg
22,g,00022_g.jpg
22,r,00022_r.jpg
23,b,00023_b.jpg
23,g,00023_g.jpg
23,r,00023_r.jpg
24,b,00024_b.jpg
24,g,00024_g.jpg
24,r,00024_r.jpg
25,b,00025_b.jpg
25,g,00025_g.jpg
25,r,00025_r.jpg
26,b,00026_b.jpg
26,g,00026_g.jpg
26,r,00026_r.jpg
27,b,00027_b.jpg
27,g,00027_g.jpg
27,r,00027_r.jpg
28,b,00028_b.jpg
28,g,00028_g.jpg
28,r,00028_r.jpg
29,b,00029_b.jpg
29,g,00029_g.jpg
29,r,00029_r.jpg
30,b,00030_b.jpg
30,g,00030_g.jpg
30,r,00030_r.jpg
31,b,00031_b.jpg
31,g,00031_g.jpg
31,r,00031_r.jpg
32,b,00032_b.jpg
32,g,00032_g.jpg
32,r,00032_r.jpg
33,b,00033_b.jpg
33,g,00033_g.jpg
33,r,00033_r.jpg
34,b,00034_b.jpg
34,g,00034_g.jpg
34,r,00034_r.jpg
35,b,00035_b.jpg
35,g,00035_g.jpg
35,r,00035_r.jpg
36,b,00036_b.jpg
36,g,00036_g.jpg
36,r,00036_r.jpg
37,b,00037_b.jpg
37,g,00037_g.jpg
37,r,00037_r.jpg
38,b,00038_b.jpg
38,g,00038_g.jpg
38,r,00038_r.jpg
39,b,00039_b.jpg
39,g,00039_g.jpg
39,r,00039_r.jpg
40,b,00040_b.jpg
40,g,00040_g.jpg
40,r,00040_r.jpg
41,b,00041_b.jpg
41,g,00041_g.jpg
41,r,00041_r.jpg
42,b,00042_b.jpg
42,g,00042_g.jpg
42,r,00042_r.jpg
43,b,00043_b.jpg
43,g,00043_g.jpg
43,r,00043_r.jpg
44,b,00044_b.jpg
44,g,00044_g.jpg
44,r,00044_r.jpg
45,b,00045_b.jpg
45,g,00045_g.jpg
45,r,00045_r.jpg
46,b,00046_b.jpg
46,g,00046_g.jpg
46,r,00046_r.jpg
47,b,00047_b.jpg
47,g,00047_g.jpg
47,r,00047_r.jpg
48,b,00048_b.jpg
48,g,00048_g.jpg
48,r,00048_r.jpg
49,b,00049_b.jpg
49,g,00049_g.jpg
49,r,00049_r.jpg
50,b,00050_b.jpg
50,g,00050_g.jpg
50,r,00050_r.jpg
51,b,00051_b.jpg
51,g,00051_g.jpg
51,r,00051_r.jpg
52,b,00052_b.jpg
52,g,00052_g.jpg
52,r,00052_r.jpg
53,b,00053_b.jpg
53,g,00053_g.jpg
53,r,00053_r.jpg
54,b,00054_b.jpg
54,g,00054_g.jpg
54,r,00054_r.jpg
55,b,00055_b.jpg
55,g,00055_g.jpg
55,r,00055_r.jpg
56,b,00056_b.jpg
56,g,00056_g.jpg
56,r,00056_r.jpg
57,b,00057_b.jpg
57,g,00057_g.jpg
57,r,00057_r.jpg
58,b,00058_b.jpg
58,g,00058_g.jpg
58,r,00058_r.jpg
59,b,00059_b.jpg
59,g,00059_g.jpg
59,r,00059_r.jpg
60,b,00060_b.jpg
60,g,00060_g.jpg
60,r,00060_r.jpg
61,b,00061_b.jpg
61,g,00061_g.jpg
61,r,00061_r.jpg
62,b,00062_b.jpg
62,g,00062_g.jpg
62,r,00062_r.jpg
63,b,00063_b.jpg
63,g,00063_g.jpg
63,r,00063_r.jpg
64,b,00064_b.jpg
64,g,00064_g.jpg
64,r,00064_r.jpg
65,b,00065_b.jpg
65,g,00065_g.jpg
65,r,00065_r.jpg
66,b,00066_b.jpg
66,g,00066_g.jpg
66,r,00066_r.jpg
67,b,00067_b.jpg
67,g,00067_g.jpg
67,r,00067_r.jpg
68,b,00068_b.jpg
68,g,00068_g.jpg
68,r,00068_r.jpg
69,b,00069_b.jpg
69,g,00069_g.jpg
69,r,00069_r.jpg
70,b,00070_b.jpg
70,g,00070_g.jpg
70,r,00070_r.jpg
71,b,00071_b.jpg
71,g,00071_g.jpg
71,r,00071_r.jpg
72,b,00072_b.jpg
72,g,00072_g.jpg
72,r,00072_r.jpg
73,b,00073_b.jpg
73,g,00073_g.jpg
73,r,00073_r.jpg
74,b,00074_b.jpg
74,g,00074_g.jpg
74,r,00074_r.jpg
75,b,00075_b.jpg
75,g,00075_g.jpg
75,r,00075_r.jpg
76,b,00076_b.jpg
76,g,00076_g.jpg
76,r,00076_r.jpg
77,b,00077_b.jpg
77,g,00077_g.jpg
77,r,00077_r.jpg
78,b,00078_b.jpg
78,g,00078_g.jpg
78,r,00078_r.jpg
79,b,00079_b.jpg
79,g,00079_g.jpg
79,r,00079_r.jpg
80,b,00080_b.jpg
80,g,00080_g.jpg
80,r,00080_r.jpg
81,b,00081_b.jpg
81,g,00081_g.jpg
81,r,00081_r.jpg
82,b,00082_b.jpg
82,g,00082_g.jpg
82,r,00082_r.jpg
83,b,00083_b.jpg
83,g,00083_g.jpg
83,r,00083_r.jpg
84,b,00084_b.jpg
84,g,00084_g.jpg
84,r,00084_r.jpg
85,b,00085_b.jpg
85,g,00085_g.jpg
85,r,00085_r.jpg
86,b,00086_b.jpg
86,g,00086_g.jpg
